number,radical,variants,meaning,pinyin
1,一,,one,yi1
2,丨,,line,gun3
3,丶,,dot,zhu3
4,丿,,slash,pie3
5,乙,"乚,乛",second,yi3
6,亅,,hook,jue2
7,二,,two,er4
8,亠,,lid,tou2
9,人,亻,person,ren2
10,儿,,son / legs,er2
11,入,,enter,ru4
12,八,,eight,ba1
13,冂,,borders,jiong3
14,冖,,cover,mi4
15,冫,,ice,bing1
16,几,,table,ji1
17,凵,,open box,qu3
18,刀,刂,knife,dao1
19,力,,power,li4
20,勺,,wrap,bao1
21,匕,,spoon,bi3
22,匚,,box,fang1
23,匸,,conceal,xi4
24,十,,ten,shi2
25,卜,,divine,bo3
26,卩,㔾,seal,jie2
27,厂,,cliff,han4
28,厶,,private,si1
29,又,,right hand,you4
30,口,,mouth,kou3
31,囗,,enclosure,wei2
32,土,,earth,tu3
33,士,,scholar,shi4
34,夂,,walk slowly,sui1
35,夊,,walk slowly,sui1
36,夕,,evening,xi1
37,大,,big,da4
38,女,,woman,nü3
39,子,,child,zi3
40,宀,,roof,mian2
41,寸,,inch / hand,cun4
42,小,,small,xiao3
43,尢,"尣,兀",lame,wang1
44,尸,,corpse / body,shi1
45,屮,,sprout,che4
46,山,,mountain,shan1
47,巛,"川,巜",river,chuan1
48,工,,work,gong1
49,己,"已,巳",self,ji3
50,巾,,cloth / towel,jin1
51,干,,dry / shield,gan1
52,幺,,tiny / thread,yao1
53,广,,shelter,yan3
54,廴,,long stride,yin3
55,廾,,two hands,gong3
56,弋,,arrow / stake,yi4
57,弓,,bow,gong1
58,彐,"彑",pig snout,ji4
59,彡,,hair / feathers,shan1
60,彳,,step,chi4
61,心,"忄,⺗",heart,xin1
62,戈,,halberd,ge1
63,戶,"户,戸",door,hu4
64,手,"扌",hand,shou3
65,支,,branch,zhi1
66,攴,"攵",rap / tap,pu1
67,文,,script / writing,wen2
68,斗,,dipper / peck,dou3
69,斤,,axe,jin1
70,方,,square / direction,fang1
71,无,"旡",not,wu2
72,日,,sun / day,ri4
73,曰,,say,yue1
74,月,,moon / month,yue4
75,木,,tree / wood,mu4
76,欠,,lack / owe,qian4
77,止,,stop / foot,zhi3
78,歹,"歺",death / evil,dai3
79,殳,,weapon / club,shu1
80,毋,"母",don't / mother,wu2
81,比,,compare,bi3
82,毛,,hair / feather,mao2
83,氏,,clan,shi4
84,气,,air / steam,qi4
85,水,"氵,氺",water,shui3
86,火,"灬",fire,huo3
87,爪,"爫",claw / nail,zhua3
88,父,,father,fu4
89,爻,,lines,yao2
90,爿,"丬",half tree,pan2
91,片,,slice,pian4
92,牙,,tooth / fang,ya2
93,牛,"牜",cow,niu2
94,犬,"犭",dog,quan3
95,玄,,dark / mysterious,xuan2
